SEASON,total_FG3M,total_FG3A,FG3_DIFF
1996-97,14382,39941,0
1997-98,10450,30233,-9708
1999-00,11513,32615,13536
2000-01,11524,32597,-18
2001-02,12402,35074,2477
2002-03,12200,34913,-161
2003-04,12322,35493,580
2004-05,13777,38748,3255
2005-06,14086,39313,565
2006-07,14926,41671,2358
2007-08,16124,44544,2873
2008-09,16352,44583,39
2009-10,15822,44622,39
2010-11,15886,44313,-309
2012-13,17603,49067,12672
2013-14,19054,52974,3907
2014-15,19300,55137,2163
2015-16,20953,59241,4104
2016-17,23748,66421,7180
2017-18,25807,71339,4918
2018-19,27955,78742,7403
2020-21,27427,74822,2570
2021-22,30598,86535,11713
2022-23,30359,84164,-2371
2023-24,31579,86355,2191
