SEASON,mean_FG3M,mean_FG3A,FG3_DIFF
1996-97,495.9310344827586,1377.2758620689656,0.0
1997-98,360.3448275862069,1042.5172413793102,-334.75862068965534
1999-00,397.0,1124.655172413793,466.7586206896551
2000-01,397.37931034482756,1124.0344827586207,-0.6206896551723275
2001-02,427.6551724137931,1209.448275862069,85.41379310344837
2002-03,420.6896551724138,1203.896551724138,-5.55172413793116
2003-04,424.8965517241379,1223.896551724138,20.0
2004-05,459.23333333333335,1291.6,67.703448275862
2005-06,469.53333333333336,1310.4333333333334,18.833333333333485
2006-07,497.53333333333336,1389.0333333333333,78.59999999999991
2007-08,537.4666666666667,1484.8,95.76666666666665
2008-09,545.0666666666667,1486.1,1.2999999999999545
2009-10,527.4,1487.4,1.300000000000182
2010-11,529.5333333333333,1477.1,-10.300000000000182
2012-13,586.7666666666667,1635.5666666666666,422.39999999999986
2013-14,635.1333333333333,1765.8,130.23333333333335
2014-15,643.3333333333334,1837.9,72.10000000000014
2015-16,698.4333333333333,1974.7,136.79999999999995
2016-17,791.6,2214.0333333333333,239.33333333333326
2017-18,860.2333333333333,2377.9666666666667,163.9333333333334
2018-19,931.8333333333334,2624.733333333333,246.76666666666642
2020-21,914.2333333333333,2494.0666666666666,85.66666666666652
2021-22,1019.9333333333333,2884.5,390.4333333333334
2022-23,1011.9666666666667,2805.4666666666667,-79.0333333333333
2023-24,1052.6333333333334,2878.5,73.0333333333333
